date,keyword,counts
10/31/21,smartphone,1
10/31/21,smartwatch,2
11/7/21,Apple,67
11/7/21,Logitech,2
11/7/21,NVIDIA,3
11/7/21,OLED monitor,0
11/7/21,Samsung,27
11/7/21,laptop,38
11/7/21,mechanical keyboard,1
11/7/21,noise cancelling headphones,1
11/7/21,smartphone,1
11/7/21,smartwatch,2
11/14/21,Apple,68
11/14/21,Logitech,2
11/14/21,NVIDIA,4
11/14/21,OLED monitor,0
11/14/21,Samsung,27
11/14/21,laptop,38
11/14/21,mechanical keyboard,1
11/14/21,noise cancelling headphones,1
11/14/21,smartphone,1
11/14/21,smartwatch,2
11/21/21,Apple,98
11/21/21,Logitech,2
11/21/21,NVIDIA,3
11/21/21,OLED monitor,0
11/21/21,Samsung,36
11/21/21,laptop,48
11/21/21,mechanical keyboard,1
11/21/21,noise cancelling headphones,1
11/21/21,smartphone,1
11/21/21,smartwatch,3
11/28/21,Apple,81
11/28/21,Logitech,2
11/28/21,NVIDIA,3
11/28/21,OLED monitor,0
11/28/21,Samsung,30
11/28/21,laptop,46
11/28/21,mechanical keyboard,1
11/28/21,noise cancelling headphones,1
11/28/21,smartphone,1
11/28/21,smartwatch,3
12/5/21,Apple,69
12/5/21,Logitech,2
12/5/21,NVIDIA,3
12/5/21,OLED monitor,0
12/5/21,Samsung,26
12/5/21,laptop,36
12/5/21,mechanical keyboard,1
12/5/21,noise cancelling headphones,1
12/5/21,smartphone,1
12/5/21,smartwatch,2
12/12/21,Apple,65
12/12/21,Logitech,2
12/12/21,NVIDIA,3
12/12/21,OLED monitor,0
12/12/21,Samsung,26
12/12/21,laptop,38
12/12/21,mechanical keyboard,1
12/12/21,noise cancelling headphones,1
12/12/21,smartphone,1
12/12/21,smartwatch,2
12/19/21,Apple,77
12/19/21,Logitech,2
12/19/21,NVIDIA,2
12/19/21,OLED monitor,0
12/19/21,Samsung,27
12/19/21,laptop,34
12/19/21,mechanical keyboard,1
12/19/21,noise cancelling headphones,1
12/19/21,smartphone,1
12/19/21,smartwatch,3
12/26/21,Apple,77
12/26/21,Logitech,2
12/26/21,NVIDIA,3
12/26/21,OLED monitor,0
12/26/21,Samsung,28
12/26/21,laptop,36
12/26/21,mechanical keyboard,1
12/26/21,noise cancelling headphones,1
12/26/21,smartphone,1
12/26/21,smartwatch,2
1/2/22,Apple,70
1/2/22,Logitech,3
1/2/22,NVIDIA,4
1/2/22,OLED monitor,0
1/2/22,Samsung,27
1/2/22,laptop,40
1/2/22,mechanical keyboard,1
1/2/22,noise cancelling headphones,1
1/2/22,smartphone,1
1/2/22,smartwatch,2
1/9/22,Apple,68
1/9/22,Logitech,3
1/9/22,NVIDIA,3
1/9/22,OLED monitor,0
1/9/22,Samsung,23
1/9/22,laptop,39
1/9/22,mechanical keyboard,1
1/9/22,noise cancelling headphones,1
1/9/22,smartphone,1
1/9/22,smartwatch,2
1/16/22,Apple,60
1/16/22,Logitech,2
1/16/22,NVIDIA,3
1/16/22,OLED monitor,0
1/16/22,Samsung,23
1/16/22,laptop,37
1/16/22,mechanical keyboard,1
1/16/22,noise cancelling headphones,1
1/16/22,smartphone,1
1/16/22,smartwatch,2
1/23/22,Apple,63
1/23/22,Logitech,3
1/23/22,NVIDIA,4
1/23/22,OLED monitor,0
1/23/22,Samsung,23
1/23/22,laptop,41
1/23/22,mechanical keyboard,1
1/23/22,noise cancelling headphones,1
1/23/22,smartphone,1
1/23/22,smartwatch,2
1/30/22,Apple,62
1/30/22,Logitech,2
1/30/22,NVIDIA,3
1/30/22,OLED monitor,0
